admission_no,ExaminationFee,TutionFee,RefreshmentAccFee,LabFee,ProjectFee,AnnualCharges,AdminCharges,SmartClassCharges,ComputerFeeYearly,ComputerFeeMonthly,DevelopmentChargesYearly,TransportFee,PortalCharges,LateFee,TotalFee
8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
9339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
8194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
9346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
8298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
8523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17380
7551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750
7996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
8015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
9342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
7597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
7601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
9109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4920
7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8440
7634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10440
8052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10140
6930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320
6972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7060
6935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410
6953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
6926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
6937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
8231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810
6934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
8230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24310
8607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
6932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15980
6995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7060
6949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
6979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
6985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9240
6936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220
7924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
6969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
7283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21110
7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24010
8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6440
